revised 3 February 2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sort code,NSC,Generic Name,Brand Name(s),Target/MOA,"MW (free base/acid, no hydrate)",Dose,Dose Unit,Route,infusion,dose schedule,Cmax (uM),Cmax (mol/liter),Cmax (g/l),Cmax (raw units),Tmax,T1/2,AUC,Cl,Vd,Protein binding,"Css, ave",Initial U.S. approval,Reference,Indication,Notes,,,,,,,,,,unit list,route list
1,748121,Abiraterone Acetate  ,Zytiga ,androgen synthesis inhibitor (CYP17),392,1000,mg,PO,,qd,LLOQ,,,< 0.2 ng/ml,,,,,,-,,2011,Drug Product Label,"prostate cancer:  metastatic castration-resistant prostate cancer, in combination with prednisone",pro-drug for Abiraterone.  Approved 2011; indicated for use in combination with prednisone.,,,,,,,,,,mg/kg,IV
2,749226,*Abiraterone,(Zytiga),androgen synthesis inhibitor (CYP17),350,as above,,,,,0.647,6.47E-07,0.000226,226 ng/ml,,12 h,1173 ng•hr/ml,,19669 L,>99%,,2011,Drug Product Label,"prostate cancer:  metastatic castration-resistant prostate cancer, in combination with prednisone",metabolite of Abiraterone Acetate  ,,,,,,,,,,units/m2,I Cisternal
3,750691,Afatinib,Gilotrif,"kinase inhibitor (Tyrosine): EGFR, HER2, HER4",486,40,mg,PO,,qd,0.0519,5.19E-08,0.0000252,25.2 ng/ml,3.98 h,26.9 h,324 ng•hr/ml,952 ml/min,2220 L,95%,,2013,Clin Pharmacokinet published online June 28 2013  DOI 10.1007/s40262-013-0091-4,NSCLC:  non-small cell lung cancer (metastatic) with EGFR exon 19 deletions or exon 21 (L858R) substitution mutations,"irreversible inhibitor.  FDA approved afatinib (Gilotrif tablets, Boehringer Ingelheim Pharmaceuticals, Inc.), for the first-line treatment of patients with metastatic non-small cell lung cancer (NSCLC) whose tumors have epidermal growth factor receptor (EGFR) exon 19 deletions or exon 21 (L858R) substitution mutations as detected by an FDA-approved test.  The safety and efficacy of afatinib have not been established in patients whose tumors have other EGFR mutations.  Concurrent with this action, FDA approved the therascreen EGFR RGQ PCR Kit (QIAGEN) for detection of EGFR exon 19 deletions or exon 21 (L858R) substitution mutations.  July 12, 2013 More Information: http://www.fda.gov/Drugs/InformationOnDrugs/ApprovedDrugs/ucm360574.htm",,,,,,,,,,mg/day,IM
4,,Alfuzosin HCl ,UroXatral,alpha1 antagonist,389,10,mg,PO,,qd,0.035,3.49E-08,0.0000136,13.6 ng/ml,8,10 h,194 ng•hr/ml,,3.2 L/kg,82-90%,,2003,Drug Product Label,Prostate: benign prostatic hyperplasia (not approved for cancer indications),not approved for cancer indications: indicated for the treatment of signs and symptoms of benign prostatic hyperplasia,,,,,,,,,,mg/m2,topical
5,1390,Allopurinol,"Zyloric, Lopurin, Zyloprim",Nucleoside/Antimetab: Xanthine Oxidase Inhibitor,136,300,mg,PO,,qd,14.253,1.43E-05,0.00194,1936 ng/ml,1.4 h,1.4 h,4814 ng•hr/ml,,,negligible,,1966,"J Clin Pharm Ther 2001, 26(2): 113","Leukemia, lymphoma and malignancies: management of patients who are receiving cancer therapy which causes elevations of serum and urinary uric acid levels.","xanthine oxidase inhibitor indicated for management of patients with leukemia, lymphoma and malignancies who are receiving cancer therapy which causes elevations of serum and urinary uric acid levels.  Active metabolite oxipurinol (alloxanthine),  also is an inhibitor of xanthine oxidase, with Cmax of 6.5 ug/ml and T1/2 of 15 hours.",,,,,,,,,,mg,PO
6,13875,Altretamine,Hexalen,Alkylating/DNA damage,210,200,mg,PO,,,3.7569,3.76E-06,0.00079,790 ng/ml,0.5-3 h,4.7- 10.2 h,,,,94%,,1990,Pharm Weekbl Sci 1989; 11:218-223,Ovarian cancer: following first-line therapy with a cisplatin and/or alkylating agent-based combination.,Cmax varies widely with formulation; Hexalen @ 200 mg po gave 277 ng/ml,,,,,,,,,,,
7,296961,Amifostine,Ethyol,ROS Scavenger,214,200,mg/m2,IV,7.5 min,,104.900,1.05E-04,0.022471678,104.9 umol/L,,15.4 min,1187 umol•min/L,1.48 L/min,,negligible,,1995,"J Clin Pharmacol 2002, 42(2): 166",Ovarian cancer: reduce the cumulative renal toxicity associated with repeated administration of cisplatin in patients with advanced ovarian cancer.,Indicated to reduce the cumulative renal toxicity associated with repeated administration of cisplatin in patients with advanced ovarian cancer.  Less than 10% of parent remains in the plasma 6 minutes after drug administration. Parent is rapidly metabolized by alkaline phosphatase to an active free thiol metabolite (WR-1065).,,,,,,,,,,,
8,330915,Aminoglutethimide,"Cytadren, Orimeten",Aromatase Inhibitor,232,500,mg,PO,,,25.400,2.54E-05,0.0059,5.9 ug/ml,1.5 h,12.5 h,,,,21-25%,,1980,Drug Product Label,Cushing's syndrome,,,,,,,,,,,,
9,18509,Aminolevulinic Acid  ,Levulan,photosensitizer,131,100,mg,IV,,,128.880,1.29E-04,0.0169,16.9 ug/ml,,50 min,13.7 ug•hr/ml,7.8 L/h,9.3 L,,,1999,"J Pharmacol Exp Ther 2002, 301(2): 507",Actinic Keratosis of the face or scalp (Topical),"preferred route is intravesiclular for bladder cancer: dose  of 1.33 grams  gave 5.35 mg/ml urine, diluted by urine from target concentration of 24 mg/ml.  Oral admin: 100 mg p.o. gave Cmax of 4.6 ug/ml.",,,,,,,,,,,
10,719344,Anastrozole  ,Arimidex ,Aromatase Inhibitor,293,1,mg,PO,,qd,0.035,3.48E-08,0.0000102,10.2 ng/ml,,41.3 h,536 ng•hr/ml,,,40%,,1995,"J Pharm Biomed Anal 2008, 48(3): 853",Breast Cancer:   locally advanced or metastatic;   hormone receptor-positive early breast cancer.,"Anastrozole mean steady-state minimum plasma concentrations in Caucasian and Japanese postmenopausal women who received 1 mg of anastrozole daily for 16 days were 25.7 and 30.4 ng/mL, respectively.",,,,,,,,,,,
