source	smiles	name	atomArray	can_smi	can_taut	can_taut_strip_stereo	Molecular_Formula	Molecular_Weight	CanonicalTautomer	NumberOfTautomers
from NCGCCanonicalForm.java	CC(=O)[O-]	ACETATE		CC(=O)[O-]	CC(=O)[O-]	CC(=O)[O-]	C2H3O2	59.04402		
from NCGCCanonicalForm.java	CC(NCC(=O)[O-])=O	ACETURATE		CC(=O)NCC(=O)[O-]	CC(=O)NCC(=O)[O-]	CC(=O)NCC(=O)[O-]	C4H6NO3	116.09534		
from NCGCCanonicalForm.java	CC(NCC(=O)[O-])=O	N-ACETYLGLYCINATE		CC(=O)NCC(=O)[O-]	CC(=O)NCC(=O)[O-]	CC(=O)NCC(=O)[O-]	C4H6NO3	116.09534		
from NCGCCanonicalForm.java	CC(Oc1c(C(=O)[O-])cccc1)=O	ACETYLSALICYLATE		CC(=O)Oc1ccccc1C(=O)[O-]	CC(=O)Oc1ccccc1C(=O)[O-]	CC(=O)Oc1ccccc1C(=O)[O-]	C9H7O4	179.14948		
from NCGCCanonicalForm.java	[O-]C(CCCCC(=O)[O-])=O	ADIPATE		[O-]C(=O)CCCCC(=O)[O-]	[O-]C(=O)CCCCC(=O)[O-]	[O-]C(=O)CCCCC(=O)[O-]	C6H8O4	144.12532		
from NCGCCanonicalForm.java	NOc1c(C(=O)[O-])cccc1	AMINOSALICYLATE		NOc1ccccc1C(=O)[O-]	NOc1ccccc1C(=O)[O-]	NOc1ccccc1C(=O)[O-]	C7H6NO3	152.12744		
from NCGCCanonicalForm.java	N[C@H](C(=O)O)CCCNC(=N)N	ARGININE		N[C@@H](CCCNC(=N)N)C(=O)O	N[C@@H](CCCN=C(N)N)C(=O)O	NC(CCCN=C(N)N)C(=O)O	C6H14N4O2	174.20095	Yes	3
from NCGCCanonicalForm.java	OC[C@@H]([C@@H]1C(O)=C(O)C(=O)O1)O	ASCORBATE		OC[C@H](O)[C@H]1OC(=O)C(=C1O)O	OC[C@H](O)[C@H]1OC(=C(O)C1=O)O	OCC(O)C1OC(=C(O)C1=O)O	C6H8O6	176.12411	Yes	2
from NCGCCanonicalForm.java	O=C1NC(=O)NC(=O)C1	BARBITURATE		O=C1CC(=O)NC(=O)N1	O=C1CC(=O)NC(=O)N1	O=C1CC(=O)NC(=O)N1	C4H4N2O3	128.08615	Yes	8
from NCGCCanonicalForm.java	[O-]S(c1ccccc1)(=O)=O	BENZENESULFONATE		[O-]S(=O)(=O)c1ccccc1	[O-]S(=O)(=O)c1ccccc1	[O-]S(=O)(=O)c1ccccc1	C6H5O3S	157.16709		
from NCGCCanonicalForm.java	[O-]C(c1ccccc1)=O	BENZOATE		[O-]C(=O)c1ccccc1	[O-]C(=O)c1ccccc1	[O-]C(=O)c1ccccc1	C7H5O2	121.1134		
