source	count nsc any nsc	count nsc inventory	count nsc inv&nci60	count nsc nci60	mf W99 any nsc	mf W99 inventory	mf W99 inv&nci60	mf W99 nci60	mf with . any nsc	mf with . inventory	mf with . inv&nci60	mf with . nci60	mf ~ .*(.*)[xn0-9] any nsc	mf ~ .*(.*)[xn0-9] inventory	mf ~ .*(.*)[xn0-9] inv&nci60	mf ~ .*(.*)[xn0-9] nci60	mw DIFF 0 any nsc	mw DIFF 0 inventory	mw DIFF 0 inv&nci60	mw DIFF 0 nci60	mw DIFF 1 any nsc	mw DIFF 1 inventory	mw DIFF 1 inv&nci60	mw DIFF 1 nci60	mw DIFF 2 any nsc	mw DIFF 2 inventory	mw DIFF 2 inv&nci60	mw DIFF 2 nci60	mw DIFF 5 any nsc	mw DIFF 5 inventory	mw DIFF 5 inv&nci60	mw DIFF 5 nci60	r groups any nsc	r groups inventory	r groups inv&nci60	r groups nci60
multi_lbl_multi_strc_multi_salt	5	5	3	3					5	5	3	3									5	5	3	3	5	5	3	3	5	5	3	3				
multi_lbl_multi_strc_no_salt	125	15	1	2	99	1			25	14	1	2	14	8			1				13	6	1	2	13	6	1	2	13	6	1	2	102	4	1	1
multi_lbl_multi_strc_one_salt	35	26			7	6			25	17			9	7							20	14			20	14			20	14			2	1		
multi_lbl_multi_strc_two_salt	24	19	3	3	1	1			21	16	1	1	9	8							18	14	3	3	18	14	3	3	18	14	3	3				
multi_lbl_no_strc_no_salt	598	367	20	46	170	43	5	30	127	86	5	5	3	3							423	322	16	17	423	322	16	17	423	322	16	17				
multi_lbl_one_strc_no_salt	738	325	75	278	192	6	3	140	55	48	6	6	281	212	17	18	202	70	51	110	377	199	57	122	377	199	57	122	377	199	57	122	225	34	9	148
multi_lbl_one_strc_one_salt	13	8			1				3	3			12	8																						
multi_lbl_two_strc_no_salt	224	170	12	15	5	4	4	5	187	144	6	8	78	59	1	1					147	111	7	9	147	111	7	9	147	111	7	9	5	5	1	1
multi_lbl_two_strc_one_salt	332	249	18	24	6	4	1	1	317	237	17	23	57	46	4	4					274	205	13	19	274	205	13	19	274	205	13	19	21	14	4	4
multi_lbl_two_strc_two_salt	14	12	1	1					14	12	1	1	1	1	1	1					13	11			13	11			13	11						
no_lbl_multi_strc_multi_salt	56	22	4	6					35	17	2	4									53	20	4	6	53	20	4	6	53	20	4	6				
no_lbl_multi_strc_no_salt	588	416	41	46					348	246	29	33	86	70			39	29	4	4	462	317	38	43	462	317	38	43	462	317	38	43	291	212	10	11
no_lbl_multi_strc_one_salt	976	728	35	40	1	1	1	1	356	283	31	36	44	29	1	1					925	694	33	38	925	694	33	38	925	694	33	38	786	589	9	12
no_lbl_multi_strc_two_salt	697	352	82	106					488	345	81	105	10	9							683	339	82	106	683	339	82	106	683	339	82	106	3	3	1	1
no_lbl_one_strc_no_salt	591360	336227	69108	87892	114	32	1	2	585	403	66	70	904	599	10	10	563876	563877	563878	563879	5725	4189	636	741	3227	2412	351	415	1859	1426	177	199	1062	676	20	25
no_lbl_one_strc_one_salt	207	116	10	10					14	7	2	2	1	1			190	107	7	7	14	7	2	2	14	7	2	2	14	7	2	2				
no_lbl_two_strc_no_salt	7847	5512	531	710	4	4			6369	4530	446	570	431	297	5	5	982	649	38	40	6391	4537	488	666	6390	4537	488	665	6389	4537	488	665	1696	1154	61	76
no_lbl_two_strc_one_salt	72035	51188	8617	10636	2				68521	50843	8548	10552	79	59			327	162	13	24	71859	51078	8614	10633	71859	51078	8614	10633	71859	51078	8614	10633	78	50	1	2
no_lbl_two_strc_two_salt	257	193	6	7					253	190	6	7	2	1							250	190	6	7	250	190	6	7	250	190	6	7				
one_lbl_multi_strc_multi_salt	6	5	1	1					6	5	1	1									6	5	1	1	6	5	1	1	6	5	1	1				
one_lbl_multi_strc_no_salt	16	11	2	2	1	1			10	8	2	2					1	1			15	10	2	2	15	10	2	2	15	10	2	2	10	6		
one_lbl_multi_strc_one_salt	45	33	7	7					39	29	7	7	3	3							42	30	7	7	42	30	7	7	42	30	7	7	7	6	1	1
one_lbl_multi_strc_two_salt	116	65	6	15					116	65	6	15									115	65	6	15	115	65	6	15	115	65	6	15	1			
one_lbl_no_strc_no_salt	43920	4819	289	1865	43640	4643	219	1776	17	16	6	6	5	2	2	2					309	181	74	96	309	181	74	96	309	181	74	96				
one_lbl_one_strc_no_salt	1388	831	329	532	152	5		28	44	35	3	4	3	3	1	1	1068	707	314	481	1230	820	328	504	1230	820	328	504	1230	820	328	504	153	3		29
one_lbl_one_strc_one_salt	7	4							5	2							2	2			6	4			6	4			6	4						
one_lbl_two_strc_no_salt	579	405	43	61	2				538	375	30	44	15	12			6	5	2	2	533	370	42	60	533	370	42	60	533	370	42	60	8	5		
one_lbl_two_strc_one_salt	8512	6003	368	435	5	1			8502	5997	367	434	3	3			2	2			8390	5927	365	431	8390	5927	365	431	8390	5927	365	431	7			3
one_lbl_two_strc_two_salt	160	137	2	2					160	137	2	2									156	134	2	2	156	134	2	2	156	134	2	2				
two_lbl_multi_strc_multi_salt	5	4	1	1					5	4	1	1									4	3	1	1	4	3	1	1	4	3	1	1				
two_lbl_multi_strc_no_salt	7	4							7	4											7	4			7	4			7	4						
two_lbl_multi_strc_one_salt	14	5							13	5											13	4			13	4			13	4			1	1		
two_lbl_multi_strc_two_salt	34	21	2	2					33	21	2	2									32	20	2	2	32	20	2	2	32	20	2	2				
two_lbl_no_strc_no_salt	773	385	15	38	325	113	2	25	85	51			11	9	3	3					421	257	10	10	421	257	10	10	421	257	10	10				
two_lbl_one_strc_no_salt	219	114	62	119	11	8	3	5	12	7	2	2	2	2			165	75	52	105	209	107	59	114	209	107	59	114	209	107	59	114	14	11	5	7
two_lbl_two_strc_no_salt	28	18	5	8	3	3			16	12	3	3					2	2	1	1	25	15	5	8	25	15	5	8	25	15	5	8				
two_lbl_two_strc_one_salt	67	32	12	20	2	2			65	30	12	20	1	1							62	28	12	20	62	28	12	20	62	28	12	20	3	3		
																																				
	732027	408846	79711	102933	44743	4878	239	2013	87421	64249	9695	11971	2064	1452	45	46	566863	565688	564360	564653	99227	70242	10919	13690	96728	68465	10634	13363	95359	67479	10460	13147	4475	2777	123	321
																																				
		0.558512186	0.1088907923																																	
																																				
		inventory for 56% of all NSC	NCI60 on 11% of all NSC																																	
