source,count nsc any nsc,count nsc inventory,count nsc inv&nci60,count nsc nci60,mf W99 any nsc,mf W99 inventory,mf W99 inv&nci60,mf W99 nci60,mf with . any nsc,mf with . inventory,mf with . inv&nci60,mf with . nci60,mf ~ .*(.*)[xn0-9] any nsc,mf ~ .*(.*)[xn0-9] inventory,mf ~ .*(.*)[xn0-9] inv&nci60,mf ~ .*(.*)[xn0-9] nci60,mw DIFF 0 any nsc,mw DIFF 0 inventory,mw DIFF 0 inv&nci60,mw DIFF 0 nci60,mw DIFF 1 any nsc,mw DIFF 1 inventory,mw DIFF 1 inv&nci60,mw DIFF 1 nci60,mw DIFF 2 any nsc,mw DIFF 2 inventory,mw DIFF 2 inv&nci60,mw DIFF 2 nci60,mw DIFF 5 any nsc,mw DIFF 5 inventory,mw DIFF 5 inv&nci60,mw DIFF 5 nci60
multi_lbl_multi_strc_multi_salt,5,5,3,3,,,,,5,5,3,3,,,,,2,2,,,3,3,3,3,3,3,3,3,3,3,3,3
multi_lbl_multi_strc_no_salt,61,13,,1,38,1,,,22,12,,1,14,8,,,4,2,,1,5,2,,,5,2,,,5,2,,
multi_lbl_multi_strc_one_salt,35,26,,,7,6,,,24,17,,,9,7,,,1,1,,,19,13,,,19,13,,,18,12,,
multi_lbl_multi_strc_two_salt,21,17,2,2,1,1,,,18,14,,,9,8,,,6,6,1,1,9,6,1,1,8,5,,,7,4,,
multi_lbl_no_strc_no_salt,863,402,30,195,396,45,5,167,128,87,6,6,36,33,7,8,,,,,,,,,,,,,,,,
multi_lbl_one_strc_no_salt,540,296,67,132,28,5,4,5,59,52,6,6,248,182,10,10,200,68,49,108,164,126,6,6,146,119,5,5,140,115,4,4
multi_lbl_one_strc_one_salt,34,22,4,4,3,,,,22,17,4,4,31,22,4,4,,,,,,,,,,,,,,,,
multi_lbl_two_strc_no_salt,218,164,11,13,4,3,3,3,184,141,6,8,78,59,1,1,7,4,2,3,135,102,5,6,135,102,5,6,131,99,4,5
multi_lbl_two_strc_one_salt,312,235,14,20,4,4,1,1,299,223,13,19,38,32,,,6,4,3,5,261,195,5,8,260,194,5,8,260,194,5,8
multi_lbl_two_strc_two_salt,14,12,1,1,,,,,14,12,1,1,1,1,1,1,,,,,13,11,,,13,11,,,13,11,,
